customer_id,name,email,tenure_months,last_login_days,login_frequency,avg_session_duration,feature_usage_count,monthly_active_days,usage_drop_flag,subscription_type,monthly_charges,payment_failures,discount_applied,support_ticket_count,unresolved_tickets,churn,health_score
CUST0001,Seer Ilangovan,seer.ilangovan@gmail.com,39,22,20,5.1,25,13,0,Standard,1345.57,2,0,9,0,0,58
CUST0002,Aaishant Khatri,aaishant.khatri@gmail.com,52,14,4,39.6,10,15,0,Standard,1445.81,0,0,4,0,0,86
CUST0003,Kriviesh Purohit,kriviesh.purohit@gmail.com,29,36,27,117.8,47,3,0,Standard,449.05,0,0,0,1,0,56
CUST0004,Neeanesh Kowalski,neeanesh.kowalski@gmail.com,15,20,8,59.6,23,11,1,Standard,1131.58,1,1,5,4,0,23
CUST0005,Tanilini Gokhale,tanilini.gokhale@gmail.com,43,13,20,49.0,21,21,0,Premium,1062.64,1,0,6,3,0,53
CUST0006,Aviarav Ilangovan,aviarav.ilangovan@gmail.com,8,1,29,18.8,21,14,0,Standard,645.39,0,0,0,2,0,83
CUST0007,Tanavini Novak,tanavini.novak@gmail.com,21,10,22,117.0,43,25,0,Standard,223.83,0,0,8,0,0,90
CUST0008,Rajitini Mensah,rajitini.mensah@gmail.com,39,50,21,7.3,13,8,0,Standard,1095.73,1,0,7,3,0,16
CUST0009,Kao Raghunathan,kao.raghunathan@gmail.com,58,38,19,89.8,37,18,0,Standard,1428.14,3,1,7,4,1,10
CUST0010,Kriesha Kulasekaran,kriesha.kulasekaran@gmail.com,19,37,13,93.4,33,19,1,Standard,1020.76,1,1,6,2,1,22
CUST0011,Manitit Chakraborty,manitit.chakraborty@gmail.com,23,59,14,33.0,24,16,0,Premium,764.88,0,0,4,2,0,25
CUST0012,Arieshant Chakraborty,arieshant.chakraborty@gmail.com,11,33,10,82.2,44,2,0,Standard,881.7,0,0,2,4,0,35
CUST0013,Aararav Hernandez,aararav.hernandez@gmail.com,11,37,11,15.7,11,8,0,Premium,458.52,2,0,8,2,1,27
CUST0014,Krieshini Kulasekaran,krieshini.kulasekaran@gmail.com,24,49,2,34.6,17,22,1,Premium,1174.71,1,0,6,4,1,10
CUST0015,Vivarika Mahadevan,vivarika.mahadevan@gmail.com,53,33,25,95.6,4,6,1,Standard,1169.35,0,0,9,2,1,36
CUST0016,Yogitan Novak,yogitan.novak@gmail.com,36,17,26,104.4,47,12,0,Standard,388.17,0,0,9,1,0,75
